genre;Author F L;Co-authors;Series;Series number;Title;Year
thriller&crimi;Peter James;;Roy Grace;15.0;Dead at First Sight ;2019
thriller&crimi;Peter James;;Roy Grace;16.0;Find Them Dead ;2020
thriller&crimi;Peter James;;Roy Grace;17.0;Left You Dead ;2021
thriller&crimi;Peter James;;Roy Grace;18.0;Picture You Dead ;2022
thriller&crimi;Peter James;;Roy Grace;19.0;Stop Them Dead ;2023
thriller&crimi;Peter James;;Roy Grace;20.0;They Thought I Was Dead: Sandy's Story ;2024
thriller&crimi;Peter James;;Roy Grace;21.0;One of Us Is Dead ;2024
thriller&crimi;Peter James;;;;Billionaire ;1983
thriller&crimi;Peter James;;;;Biggles The Storybook ;1986
thriller&crimi;Peter James;;;;Possession ;1988
thriller&crimi;Peter James;;;;Dreamer ;1989
thriller&crimi;Peter James;;;;Sweet Heart ;1990
thriller&crimi;Peter James;;;;Twilight ;1991
thriller&crimi;Peter James;;;;Prophecy ;1992
thriller&crimi;Peter James;;;;Host ;1993
thriller&crimi;Peter James;;;;Alchemist ;1996
thriller&crimi;Peter James;;;;Getting Wired! ;1996
thriller&crimi;Peter James;;;;The Truth ;1997
thriller&crimi;Peter James;;;;Denial ;1998
thriller&crimi;Peter James;;;;Faith ;2000
thriller&crimi;Peter James;;;;Perfect People ;2011
thriller&crimi;Peter James;;;;Absolute Proof ;2017
thriller&crimi;Peter James;;;;I Follow You ;2020
thriller&crimi;James Patterson;;Alex Cross;1.0;Along Came a Spider;
thriller&crimi;James Patterson;;Alex Cross;2.0;Kiss the Girls;
thriller&crimi;James Patterson;;Alex Cross;3.0;Jack & Jill;
thriller&crimi;James Patterson;;Alex Cross;4.0;Cat & Mouse;
thriller&crimi;James Patterson;;Alex Cross;5.0;Pop Goes the Weasel;
thriller&crimi;James Patterson;;Alex Cross;6.0;Roses Are Red;
thriller&crimi;James Patterson;;Alex Cross;7.0;Violets Are Blue;
thriller&crimi;James Patterson;;Alex Cross;8.0;Four Blind Mice;
thriller&crimi;James Patterson;;Alex Cross;9.0;The Big Bad Wolf;
thriller&crimi;James Patterson;;Alex Cross;10.0;London Bridges;
thriller&crimi;James Patterson;;Alex Cross;11.0;Mary, Mary;
thriller&crimi;James Patterson;;Alex Cross;12.0;Cross / Alex Cross;
thriller&crimi;James Patterson;;Alex Cross;13.0;Double Cross;
thriller&crimi;James Patterson;;Alex Cross;14.0;Cross Country;
thriller&crimi;James Patterson;;Alex Cross;15.0;Alex Cross's Trial;
thriller&crimi;James Patterson;;Alex Cross;16.0;I, Alex Cross;
thriller&crimi;James Patterson;;Alex Cross;17.0;Cross Fire;
thriller&crimi;James Patterson;;Alex Cross;18.0;Kill Alex Cross;
thriller&crimi;James Patterson;;Alex Cross;19.0;Merry Christmas, Alex Cross;
thriller&crimi;James Patterson;;Alex Cross;20.0;Alex Cross, Run;
thriller&crimi;James Patterson;;Alex Cross;21.0;Cross My Heart;
thriller&crimi;James Patterson;;Alex Cross;22.0;Hope to Die;
thriller&crimi;James Patterson;;Alex Cross;23.0;Cross Justice;
thriller&crimi;James Patterson;;Alex Cross;24.0;Cross the Line;
fiction_sf&fantasy;Andrzej Sapkowski;;The Witcher;;Blood of Elves ;2008
fiction_sf&fantasy;Andrzej Sapkowski;;The Witcher;;The Time of Contempt ;2013
fiction_sf&fantasy;Andrzej Sapkowski;;The Witcher;;Baptism of Fire ;2014
fiction_sf&fantasy;Andrzej Sapkowski;;The Witcher;;The Tower of Swallows ;2016
fiction_sf&fantasy;Andrzej Sapkowski;;The Witcher;;Lady of the Lake ;2016
fiction_sf&fantasy;Andrzej Sapkowski;;The Witcher;;Season of Storms ;2018
thriller&crimi;Karin Slaughter;;Andrea Oliver ;1.0;Pieces of Her ;2018
thriller&crimi;Karin Slaughter;;Andrea Oliver ;2.0;Girl, Forgotten ;2022
thriller&crimi;Karin Slaughter;;Grant County ;1.0; Grant County ;
thriller&crimi;Karin Slaughter;;Grant County ;2.0;Blindsighted ;2001
thriller&crimi;Karin Slaughter;;Grant County ;3.0;Kisscut ;2002
thriller&crimi;Karin Slaughter;;Grant County ;4.0;A Faint Cold Fear ;2003
thriller&crimi;Karin Slaughter;;Grant County ;5.0;Indelible ;2004
thriller&crimi;Karin Slaughter;;Grant County ;6.0;Faithless ;2005
thriller&crimi;Karin Slaughter;;Grant County ;7.0;Beyond Reach / Skin Privilege ;2007
thriller&crimi;Karin Slaughter;;Grant County ;8.0;Genesis / Undone ;2009
thriller&crimi;Karin Slaughter;Michael Koryta;Grant County ;9.0;Short Story(With: Michael Koryta) ;2019
thriller&crimi;Karin Slaughter;; Will Trent;1.0;Triptych ;2006
thriller&crimi;Karin Slaughter;; Will Trent;2.0;Fractured ;2008
thriller&crimi;Karin Slaughter;; Will Trent;1.0;Genesis / Undone ;2009
thriller&crimi;Karin Slaughter;; Will Trent;2.0;Broken ;2010
thriller&crimi;Karin Slaughter;; Will Trent;3.0;Fallen ;2011
thriller&crimi;Karin Slaughter;; Will Trent;4.0;Snatched ;2012
thriller&crimi;Karin Slaughter;; Will Trent;5.0;Criminal ;2012
thriller&crimi;Karin Slaughter;; Will Trent;6.0;Busted ;2013
thriller&crimi;Karin Slaughter;; Will Trent;7.0;Unseen ;2013
thriller&crimi;Karin Slaughter;; Will Trent;8.0;The Kept Woman ;2016
thriller&crimi;Karin Slaughter;; Will Trent;9.0;Cleaning the Gold(With: Lee Child) ;2019
thriller&crimi;Karin Slaughter;; Will Trent;10.0;The Last Widow ;2019
thriller&crimi;Karin Slaughter;; Will Trent;11.0;The Silent Wife ;2020
thriller&crimi;Karin Slaughter;; Will Trent;12.0;After That Night ;2023
thriller&crimi;Karin Slaughter;; Will Trent;13.0;This is Why We Lied ;2024
thriller&crimi;Karin Slaughter;;Good Daughter ;1.0;Last Breath ;2017
thriller&crimi;Karin Slaughter;;Good Daughter ;2.0;The Good Daughter ;2017
thriller&crimi;Karin Slaughter;;;1.0;Martin Misunderstood ;2008
thriller&crimi;Karin Slaughter;;;2.0;Cop Town ;2014
thriller&crimi;Karin Slaughter;;;3.0;Pretty Girls ;2015
thriller&crimi;Karin Slaughter;;;4.0;False Witness ;2021
thriller&crimi;Christopher Smith ;;Fifth Avenue ;1.0;Fifth Avenue ;2010
thriller&crimi;Christopher Smith ;;Fifth Avenue ;2.0;Running of the Bulls ;2011
thriller&crimi;Christopher Smith ;;Fifth Avenue ;3.0;From Manhattan with Love ;2011
thriller&crimi;Christopher Smith ;;Fifth Avenue ;4.0;From Manhattan with Revenge ;2012
thriller&crimi;Christopher Smith ;;Fifth Avenue ;5.0;A Rush to Violence ;2012
thriller&crimi;Christopher Smith ;;Fifth Avenue ;6.0;Park Avenue ;2013
thriller&crimi;Christopher Smith ;;Bullied;1.0;Bullied ;2011
thriller&crimi;Christopher Smith ;;Bullied;2.0;Revenge ;2011
thriller&crimi;Christopher Smith ;;Bullied;3.0;Witch ;2011
thriller&crimi;Christopher Smith ;;Bullied;4.0;War ;2011
thriller&crimi;Christopher Smith ;;;;You Only Die Twice ;2012
thriller&crimi;Olen Steinhauer;;Ruthenia Quintet;1.0;The Bridge of Sighs ;2003
thriller&crimi;Olen Steinhauer;;Ruthenia Quintet;2.0;The Confession ;2004
thriller&crimi;Olen Steinhauer;;Ruthenia Quintet;3.0;36 Yalta Boulevard ;2005
thriller&crimi;Olen Steinhauer;;Ruthenia Quintet;4.0;Liberation Movements ;2006
thriller&crimi;Olen Steinhauer;;Ruthenia Quintet;5.0;Victory Square ;2007
thriller&crimi;Olen Steinhauer;;Milo Weaver ;1.0;The Tourist ;2009
thriller&crimi;Olen Steinhauer;;Milo Weaver ;2.0;The Nearest Exit ;2010
thriller&crimi;Olen Steinhauer;;Milo Weaver ;3.0;An American Spy ;2012
thriller&crimi;Olen Steinhauer;;Milo Weaver ;4.0;The Last Tourist ;2020
thriller&crimi;Olen Steinhauer;;Middleman;1.0;The Middleman ;2018
thriller&crimi;Olen Steinhauer;;;;The Cairo Affair ;2014
thriller&crimi;Olen Steinhauer;;;;All the Old Knives ;2015
thriller&crimi;Carsten Stroud;;Niceville;1.0;Niceville ;2012
thriller&crimi;Carsten Stroud;;Niceville;2.0;The Homecoming ;2013
thriller&crimi;Carsten Stroud;;Niceville;3.0;The Reckoning ;2014
thriller&crimi;Carsten Stroud;;Rick Broca ;1.0;Cuba Strait ;2002
thriller&crimi;Carsten Stroud;;Rick Broca ;2.0;Black Moon ;2004
thriller&crimi;Carsten Stroud;;;;Snipers Moon ;1990
thriller&crimi;Carsten Stroud;;;;Lizard Skin ;1992
thriller&crimi;Carsten Stroud;;;;Black Water Transit ;2001
thriller&crimi;Carsten Stroud;;;;Cobraville ;2004
thriller&crimi;Carsten Stroud;;;;The Shimmer ;2018
fiction_sf&fantasy;Michael J. Sullivan ;;Riyria Revelations;1.0;The Crown Conspiracy ;2008
fiction_sf&fantasy;Michael J. Sullivan ;;Riyria Revelations;2.0;Avempartha ;2009
fiction_sf&fantasy;Michael J. Sullivan ;;Riyria Revelations;3.0;Nyphron Rising ;2009
fiction_sf&fantasy;Michael J. Sullivan ;;Riyria Revelations;4.0;The Emerald Storm ;2010
fiction_sf&fantasy;Michael J. Sullivan ;;Riyria Revelations;5.0;Wintertide ;2010
fiction_sf&fantasy;Michael J. Sullivan ;;Riyria Revelations;6.0;Percepliquis ;2012
fiction_sf&fantasy;Michael J. Sullivan ;;The Riyria Chronicles;1.0;The Viscount and the Witch ;2011
fiction_sf&fantasy;Michael J. Sullivan ;;The Riyria Chronicles;2.0;The Crown Tower ;2013
fiction_sf&fantasy;Michael J. Sullivan ;;The Riyria Chronicles;3.0;The Rose and the Thorn ;2013
fiction_sf&fantasy;Michael J. Sullivan ;;The Riyria Chronicles;4.0;The Jester ;2014
fiction_sf&fantasy;Michael J. Sullivan ;;The Riyria Chronicles;5.0;The Death of Dulgath ;2015
fiction_sf&fantasy;Michael J. Sullivan ;;The Riyria Chronicles;6.0;The Disappearance of Winter's Daughter ;2017
fiction_sf&fantasy;Michael J. Sullivan ;;First Empire ;1.0;Pile of Bones ;2019
fiction_sf&fantasy;Michael J. Sullivan ;;First Empire ;2.0;Age of Myth ;2016
fiction_sf&fantasy;Michael J. Sullivan ;;First Empire ;3.0;Age of Swords ;2017
fiction_sf&fantasy;Michael J. Sullivan ;;First Empire ;4.0;Age of War ;2018
fiction_sf&fantasy;Michael J. Sullivan ;;First Empire ;5.0;Age of Legend ;2019
fiction_sf&fantasy;Michael J. Sullivan ;;First Empire ;6.0;Age of Death ;2020
fiction_sf&fantasy;Michael J. Sullivan ;;First Empire ;c;Age of Empyre ;2020
fiction_sf&fantasy;Michael J. Sullivan ;;The Rise and Fall ;1.0;Nolyn ;2021
fiction_sf&fantasy;Michael J. Sullivan ;;The Rise and Fall ;2.0;Farilane ;2022
fiction_sf&fantasy;Michael J. Sullivan ;;The Rise and Fall ;3.0;Esrahaddon ;2023
fiction_sf&fantasy;Michael J. Sullivan ;;;;Hollow World ;2013
thriller&crimi;Paul Sussman;;Yusuf Khalifa ;1.0;The Lost Army of Cambyses ;2002
thriller&crimi;Paul Sussman;;Yusuf Khalifa ;2.0;The Last Secret of the Temple ;2005
thriller&crimi;Paul Sussman;;Yusuf Khalifa ;3.0;The Labyrinth of Osiris ;2012
thriller&crimi;Paul Sussman;;;;The Hidden Oasis ;2008
thriller&crimi;Paul Sussman;;;;The Final Testimony of Raphael Ignatius Phoenix ;
thriller&crimi;James Swain ;;Vincent Hardare ;1.0;The Man Who Walked Through Walls ;1989
thriller&crimi;James Swain ;;Vincent Hardare ;2.0;The Man Who Cheated Death ;2010
thriller&crimi;James Swain ;;Tony Valentine ;1.0;Grift Sense ;2001
thriller&crimi;James Swain ;;Tony Valentine ;2.0;Funny Money ;2002
thriller&crimi;James Swain ;;Tony Valentine ;3.0;Sucker Bet ;2002
thriller&crimi;James Swain ;;Tony Valentine ;4.0;Loaded Dice ;2004
thriller&crimi;James Swain ;;Tony Valentine ;5.0;Mr. Lucky ;2005
thriller&crimi;James Swain ;;Tony Valentine ;6.0;Deadman's Poker ;2006
thriller&crimi;James Swain ;;Tony Valentine ;7.0;Deadman's Bluff ;2006
thriller&crimi;James Swain ;;Tony Valentine ;8.0;Wild Card ;2010
thriller&crimi;James Swain ;;Tony Valentine ;9.0;Jackpot ;2010
thriller&crimi;James Swain ;;Jack Carpenter;1.0;Midnight Rambler ;2007
thriller&crimi;James Swain ;;Jack Carpenter;2.0;The Night Stalker ;2008
thriller&crimi;James Swain ;;Jack Carpenter;3.0;The Night Monster ;2009
thriller&crimi;James Swain ;;Jack Carpenter;4.0;The Program ;2010
thriller&crimi;James Swain ;;Peter Warlock;1.0;Dark Magic ;2012
thriller&crimi;James Swain ;;Peter Warlock;2.0;Shadow People ;2013
thriller&crimi;James Swain ;;Billy Cunningham ;1.0;Take Down ;2015
thriller&crimi;James Swain ;;Billy Cunningham ;2.0;Bad Action ;2016
thriller&crimi;James Swain ;;Billy Cunningham ;3.0;Super Con ;2017
thriller&crimi;James Swain ;;Billy Cunningham ;4.0;Sin City ;2024
thriller&crimi;James Swain ;;Lancaster & Daniels ;1.0;The King Tides ;2018
thriller&crimi;James Swain ;;Lancaster & Daniels ;2.0;No Good Deed ;2019
thriller&crimi;James Swain ;;Lancaster & Daniels ;3.0;Bad News Travels ;2020
thriller&crimi;Peter Swanson ;;Henry Kimball / Lily Kintner;1.0;The Kind Worth Killing ;2015
thriller&crimi;Peter Swanson ;;Henry Kimball / Lily Kintner;2.0;The Kind Worth Saving ;2023
thriller&crimi;Peter Swanson ;;Henry Kimball / Lily Kintner;3.0;A Talent for Murder ;2024
thriller&crimi;Peter Swanson ;;;;The Girl with a Clock for a Heart ;2014
thriller&crimi;Peter Swanson ;;;;Her Every Fear ;2017
thriller&crimi;Peter Swanson ;;;;All the Beautiful Lies ;2018
thriller&crimi;Peter Swanson ;;;;Before She Knew Him ;2019
thriller&crimi;Peter Swanson ;;;;Eight Perfect Murders / Rules for Perfect Murders ;2020
thriller&crimi;Peter Swanson ;;;;Every Vow You Break ;2021
thriller&crimi;Peter Swanson ;;;;Nine Lives ;2022
thriller&crimi;Simon Toyne ;;Laughton Rees ;1.0;Dark Objects ;2022
thriller&crimi;Simon Toyne ;;Laughton Rees ;2.0;The Clearing ;2023
thriller&crimi;Simon Toyne ;;Sancti;1.0;Sanctus ;2011
thriller&crimi;Simon Toyne ;;Sancti;2.0;The Key ;2012
thriller&crimi;Simon Toyne ;;Sancti;3.0;The Tower ;2013
thriller&crimi;Simon Toyne ;;Solomon Creed;1.0;Solomon Creed / The Searcher ;2015
thriller&crimi;Simon Toyne ;;Solomon Creed;2.0;The Boy Who Saw ;2017
thriller&crimi;Simon Toyne ;;Solomon Creed;3.0;Broken Promise ;2018
thriller&crimi;Trevanian;;Jonathan Hemlock;1.0;The Eiger Sanction ;1972
thriller&crimi;Trevanian;;Jonathan Hemlock;2.0;The Loo Sanction ;1973
thriller&crimi;Trevanian;;;;The Main ;1976
thriller&crimi;Trevanian;;;;Shibumi ;1979
thriller&crimi;Trevanian;;;;The Summer of Katya ;1983
thriller&crimi;Trevanian;;;;Incident at Twenty;Mile 
thriller&crimi;Trevanian;;;;The Crazyladies of Pearl Street ;2005
thriller&crimi;Scott Turow ;;Kindle County ;1.0;Presumed Innocent ;1986
thriller&crimi;Scott Turow ;;Kindle County ;2.0;The Burden of Proof ;1990
thriller&crimi;Scott Turow ;;Kindle County ;3.0;Pleading Guilty ;1993
thriller&crimi;Scott Turow ;;Kindle County ;4.0;The Laws Of Our Fathers ;1996
thriller&crimi;Scott Turow ;;Kindle County ;5.0;Personal Injuries ;1999
thriller&crimi;Scott Turow ;;Kindle County ;6.0;Reversible Errors ;2002
thriller&crimi;Scott Turow ;;Kindle County ;7.0;Limitations ;2006
thriller&crimi;Scott Turow ;;Kindle County ;8.0;Innocent ;2010
thriller&crimi;Scott Turow ;;Kindle County ;9.0;Identical ;2013
thriller&crimi;Scott Turow ;;Kindle County ;10.0;Testimony ;2017
thriller&crimi;Scott Turow ;;Kindle County ;11.0;The Last Trial ;2020
thriller&crimi;Scott Turow ;;Kindle County ;12.0;Suspect ;2022
thriller&crimi;Scott Turow ;;Kindle County ;13.0;Presumed Guilty ;2025
thriller&crimi;Scott Turow ;;;;Ordinary Heroes ;2005
thriller&crimi;James Twining;;Tom Kirk;1.0;The Double Eagle ;2005
thriller&crimi;James Twining;;Tom Kirk;2.0;The Black Sun ;2006
thriller&crimi;James Twining;;Tom Kirk;3.0;The Gilded Seal ;2008
thriller&crimi;James Twining;;Tom Kirk;4.0;The Geneva Deception ;2009
thriller&crimi;Eric Van Lustbader ;;Sunset Warrior;2.0;Shallows of Night ;1978
thriller&crimi;Eric Van Lustbader ;;Sunset Warrior;3.0;Dai;San 
thriller&crimi;Eric Van Lustbader ;;Sunset Warrior;4.0;Beneath an Opal Moon ;1980
thriller&crimi;Eric Van Lustbader ;;Sunset Warrior;5.0;Dragons on the Sea of Night ;1997
thriller&crimi;Eric Van Lustbader ;;Nicholas Linnear/Ninja;1.0;The Ninja ;1980
thriller&crimi;Eric Van Lustbader ;;Nicholas Linnear/Ninja;2.0;The Miko ;1984
thriller&crimi;Eric Van Lustbader ;;Nicholas Linnear/Ninja;3.0;White Ninja ;1990
thriller&crimi;Eric Van Lustbader ;;Nicholas Linnear/Ninja;4.0;The Kaisho ;1993
thriller&crimi;Eric Van Lustbader ;;Nicholas Linnear/Ninja;5.0;Floating City ;1994
thriller&crimi;Eric Van Lustbader ;;Nicholas Linnear/Ninja;6.0;Second Skin ;1995
thriller&crimi;Eric Van Lustbader ;;Nicholas Linnear/Ninja;6.5;The Death and Life of Nicholas Linnear ;2014
thriller&crimi;Eric Van Lustbader ;;Nicholas Linnear/Ninja;7.0;The Oligarch's Daughter ;2016
thriller&crimi;Eric Van Lustbader ;; China Maroc ;1.0;Jian ;1985
thriller&crimi;Eric Van Lustbader ;; China Maroc ;2.0;Shan ;1986
thriller&crimi;Eric Van Lustbader ;; Pearl Saga (fantasy);1.0;The Ring of Five Dragons ;2001
thriller&crimi;Eric Van Lustbader ;; Pearl Saga (fantasy);2.0;The Veil of a Thousand Tears ;2002
thriller&crimi;Eric Van Lustbader ;; Pearl Saga (fantasy);3.0;Mistress of the Pearl ;2003
thriller&crimi;Eric Van Lustbader ;;Jack McClure/Alli Carson ;1.0;First Daughter ;2008
thriller&crimi;Eric Van Lustbader ;;Jack McClure/Alli Carson ;2.0;Last Snow ;2010
thriller&crimi;Eric Van Lustbader ;;Jack McClure/Alli Carson ;3.0;Blood Trust ;2011
thriller&crimi;Eric Van Lustbader ;;Jack McClure/Alli Carson ;4.0;Father Night ;2012
thriller&crimi;Eric Van Lustbader ;;Jack McClure/Alli Carson ;5.0;Beloved Enemy ;2013
thriller&crimi;Eric Van Lustbader ;;Bravo Shaw ;1.0;The Testament ;2006
thriller&crimi;Eric Van Lustbader ;;Bravo Shaw ;2.0;The Fallen ;2018
thriller&crimi;Eric Van Lustbader ;;Bravo Shaw ;3.0;Four Dominions ;2018
thriller&crimi;Eric Van Lustbader ;;Bravo Shaw ;4.0;The Sum of All Shadows ;2019
thriller&crimi;Eric Van Lustbader ;;Evan Ryder;1.0;The Nemesis Manifesto ;2020
thriller&crimi;Eric Van Lustbader ;;Evan Ryder;2.0;The Kobalt Dossier ;2021
thriller&crimi;Eric Van Lustbader ;;Evan Ryder;3.0;Omega Rules ;2022
thriller&crimi;Eric Van Lustbader ;;Evan Ryder;4.0;The Quantum Solution ;2023
thriller&crimi;Eric Van Lustbader ;;;;Sirens ;1981
thriller&crimi;Eric Van Lustbader ;;;;Black Heart ;1983
thriller&crimi;Eric Van Lustbader ;;;;Zero ;1988
thriller&crimi;Eric Van Lustbader ;;;;French Kiss ;1988
thriller&crimi;Eric Van Lustbader ;;;;Angel Eyes ;1991
thriller&crimi;Eric Van Lustbader ;;;;Black Blade ;1992
thriller&crimi;Eric Van Lustbader ;;;;Dark Homecoming ;1996
thriller&crimi;Eric Van Lustbader ;;;;Pale Saint ;1999
thriller&crimi;Eric Van Lustbader ;;;;Art Kills ;1999
thriller&crimi;Eric Van Lustbader ;;;;Any Minute Now ;2016
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;1.0;Bruno, Chief of Police / Death in the Dordogne ;2008
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;2.0;The Dark Vineyard ;2009
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;3.0;Black Diamond ;2010
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;4.0;The Crowded Grave ;2011
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;5.0;The Devil's Cave ;2012
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;1.0;Bruno and the Carol Singers / Bruno and le Pere Noel ;2012
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;2.0;The Resistance Man ;2013
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;3.0;The Children Return / Children of War / Death Undercover ;2014
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;4.0;A Market Tale ;2014
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;5.0;The Dying Season / The Patriarch ;2015
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;6.0;Fatal Pursuit ;2016
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;7.0;The Templars' Last Secret ;2017
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;8.0;A Taste for Vengeance ;2018
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;9.0;The Chocolate War ;2018
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;10.0;The Body in the Castle Well ;2019
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;11.0;A Birthday Lunch ;2019
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;12.0;Oystercatcher ;2020
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;13.0;The Shooting at Chateau Rock ;2020
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;14.0;The Coldest Case ;2021
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;15.0;Bruno's Challenge and Other Stories of the French Countryside ;2022
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;16.0;To Kill a Troubadour ;2022
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;17.0;A Chateau Under Siege ;2023
thriller&crimi;Martin Walker;;Bruno, Chief Of Police;18.0;A Grave in the Woods ;2024
thriller&crimi;Martin Walker;;;;The Infiltrator ;1978
thriller&crimi;Martin Walker;;;;The Money Soldiers ;1980
thriller&crimi;Martin Walker;;;;A Mercenary Calling ;1980
thriller&crimi;Martin Walker;;;;The Caves of Perigord ;2002
thriller&crimi;Richard Weber;;;;The Woynich Prophesy: Indigo child, 2007;
thriller&crimi;Bradley West;;Lies;1.0;Sea of Lies;
thriller&crimi;Bradley West;;Lies;2.0;Pack of Lies;
thriller&crimi;Bradley West;;Lies;3.0;End of Lies;
thriller&crimi;Bradley West;;Dark Plague ;1.0;Dark Cure;
thriller&crimi;Bradley West;;Dark Plague ;2.0;Hard Road: Deadly Horizon;
thriller&crimi;Cameron West;;;;The Medici Dagger;
thriller&crimi;Cameron West;;;;Futurecard;
thriller&crimi;Donald E. Westlake;;Dortmunder ;1.0;The Hot Rock ;1970
thriller&crimi;Donald E. Westlake;;Dortmunder ;2.0;Bank Shot ;1972
thriller&crimi;Donald E. Westlake;;Dortmunder ;3.0;Jimmy The Kid ;1974
thriller&crimi;Donald E. Westlake;;Dortmunder ;4.0;Nobody's Perfect ;1977
thriller&crimi;Donald E. Westlake;;Dortmunder ;5.0;Why Me? ;1983
thriller&crimi;Donald E. Westlake;;Dortmunder ;6.0;Good Behavior ;1985
thriller&crimi;Donald E. Westlake;;Dortmunder ;7.0;Drowned Hopes ;1990
thriller&crimi;Donald E. Westlake;;Dortmunder ;8.0;Don't Ask ;1993
thriller&crimi;Donald E. Westlake;;Dortmunder ;9.0;What's The Worst That Could Happen? ;1996
thriller&crimi;Donald E. Westlake;;Dortmunder ;10.0;Bad News ;2001
thriller&crimi;Donald E. Westlake;;Dortmunder ;11.0;The Road To Ruin ;2004
thriller&crimi;Donald E. Westlake;;Dortmunder ;12.0;Thieves' Dozen ;2004
thriller&crimi;Donald E. Westlake;;Dortmunder ;13.0;Watch Your Back! ;2005
thriller&crimi;Donald E. Westlake;;Dortmunder ;14.0;What's So Funny? ;2007
thriller&crimi;Donald E. Westlake;;Dortmunder ;15.0;Get Real ;2009
thriller&crimi;Donald E. Westlake;;Sam Holt;1.0;One Of Us Is Wrong ;1986
thriller&crimi;Donald E. Westlake;;Sam Holt;2.0;I Know A Trick Worth Two Of That ;1986
thriller&crimi;Donald E. Westlake;;Sam Holt;3.0;What I Tell You Three Times Is False ;1987
thriller&crimi;Donald E. Westlake;;Sam Holt;4.0;The Fourth Dimension Is Death ;1989
thriller&crimi;Donald E. Westlake;;;;Sally ;1959
thriller&crimi;Donald E. Westlake;;;;Man Hungry ;1959
thriller&crimi;Donald E. Westlake;;;;All My Lovers ;1959
thriller&crimi;Donald E. Westlake;;;;SO WILLING. ;1960
thriller&crimi;Donald E. Westlake;;;;All about Annette ;1960
thriller&crimi;Donald E. Westlake;;;;Virgin's Summer ;1960
thriller&crimi;Donald E. Westlake;;;;The Wife Next Door ;1960
thriller&crimi;Donald E. Westlake;;;;The Mercenaries/The Cutie ;1960
thriller&crimi;Donald E. Westlake;;;;Passion's Playthings ;1961
thriller&crimi;Donald E. Westlake;;;;Call Me Sinner ;1961
thriller&crimi;Donald E. Westlake;;;;Campus Doll ;1961
thriller&crimi;Donald E. Westlake;;;;Brother and Sister ;1961
thriller&crimi;Donald E. Westlake;;;;Killing Time ;1961
thriller&crimi;Donald E. Westlake;;;;Young and Innocent ;1961
thriller&crimi;Donald E. Westlake;;;;361;1962
thriller&crimi;Donald E. Westlake;;;;Strange affair. ;1962
thriller&crimi;Donald E. Westlake;;;;Killy ;1963
thriller&crimi;Donald E. Westlake;;;;Campus Lovers ;1963
thriller&crimi;Donald E. Westlake;;;;Pity Him Afterwards ;1964
thriller&crimi;Donald E. Westlake;;;;The Fugitive Pigeon ;1965
thriller&crimi;Donald E. Westlake;;;;The Busy Body ;1966
thriller&crimi;Donald E. Westlake;;;;Spy in the Ointment ;1966
thriller&crimi;Donald E. Westlake;;;;God Save the Mark ;1967
thriller&crimi;Donald E. Westlake;;;;Anarchaos ;1967
thriller&crimi;Donald E. Westlake;;;;Philip ;1967
thriller&crimi;Donald E. Westlake;;;;Who stole Sassi Manoon? ;1968
thriller&crimi;Donald E. Westlake;;;;Up Your Banners ;1969
thriller&crimi;Donald E. Westlake;;;;Somebody Owes Me Money ;1969
thriller&crimi;Donald E. Westlake;;;;Adios Scheherazade ;1970
thriller&crimi;Donald E. Westlake;;;;Comfort Station ;1970
thriller&crimi;Donald E. Westlake;;;;Ex Officio ;1970
thriller&crimi;Donald E. Westlake;;;;I Gave at the Office ;1971
thriller&crimi;Donald E. Westlake;;;;Cops and Robbers ;1972
thriller&crimi;Donald E. Westlake;;;;Gangway!(With: Brian Garfield) ;1973
thriller&crimi;Donald E. Westlake;;;;Help, I Am Being Held Prisoner ;1974
thriller&crimi;Donald E. Westlake;;;;Brothers Keepers ;1975
thriller&crimi;Donald E. Westlake;;;;Two Much ;1975
thriller&crimi;Donald E. Westlake;;;;Dancing Aztecs ;1976;
